"state","population","solution_level","policy_qual_score","factor_low","factor_high","total_fw"
"AL",5074296,"Prevention","Negative",0.05,0.1,918035.94
"AL",5074296,"Rescue","Weak",0.2,0.4,918035.94
"AL",5074296,"Repurpose","Negative",0.05,0.1,918035.94
"AL",5074296,"Recycling","None",0.1,0.2,918035.94
"AK",733583,"Prevention","Moderate",0.3,0.6,119603.97
"AK",733583,"Rescue","Moderate",0.3,0.6,119603.97
"AK",733583,"Repurpose","Negative",0.05,0.1,119603.97
"AK",733583,"Recycling","None",0.1,0.2,119603.97
"AZ",3045637,"Prevention","Moderate",0.3,0.6,1560824.463
"AZ",3045637,"Rescue","Moderate",0.3,0.6,1560824.463
"AZ",3045637,"Repurpose","Moderate",0.3,0.6,1560824.463
"AZ",3045637,"Recycling","None",0.1,0.2,1560824.463
"AR",7359197,"Prevention","Moderate",0.3,0.6,628779.302
"AR",7359197,"Rescue","Weak",0.2,0.4,628779.302
"AR",7359197,"Repurpose","Negative",0.05,0.1,628779.302
"AR",7359197,"Recycling","None",0.1,0.2,628779.302
"CA",39029342,"Prevention","Moderate",0.3,0.6,5753593.75
"CA",39029342,"Rescue","Strong",0.5,1,5753593.75
"CA",39029342,"Repurpose","Moderate",0.3,0.6,5753593.75
"CA",39029342,"Recycling","Strong",0.5,1,5753593.75
"CO",5839926,"Prevention","Negative",0.05,0.1,1282740.718
"CO",5839926,"Rescue","Weak",0.2,0.4,1282740.718
"CO",5839926,"Repurpose","Moderate",0.3,0.6,1282740.718
"CO",5839926,"Recycling","None",0.1,0.2,1282740.718
"CT",3626205,"Prevention","Moderate",0.3,0.6,642846.696
"CT",3626205,"Rescue","Weak",0.2,0.4,642846.696
"CT",3626205,"Repurpose","Moderate",0.3,0.6,642846.696
"CT",3626205,"Recycling","Moderate",0.3,0.6,642846.696
"DE",1018396,"Prevention","Moderate",0.3,0.6,188948.319
"DE",1018396,"Rescue","Weak",0.2,0.4,188948.319
"DE",1018396,"Repurpose","Negative",0.05,0.1,188948.319
"DE",1018396,"Recycling","None",0.1,0.2,188948.319
"FL",22244823,"Prevention","Negative",0.05,0.1,4840539.846
"FL",22244823,"Rescue","Weak",0.2,0.4,4840539.846
"FL",22244823,"Repurpose","Moderate",0.3,0.6,4840539.846
"FL",22244823,"Recycling","None",0.1,0.2,4840539.846
"GA",10912876,"Prevention","Negative",0.05,0.1,2048554.052
"GA",10912876,"Rescue","Weak",0.2,0.4,2048554.052
"GA",10912876,"Repurpose","Negative",0.05,0.1,2048554.052
"GA",10912876,"Recycling","None",0.1,0.2,2048554.052
"HI",1440196,"Prevention","Negative",0.05,0.1,218877.376
"HI",1440196,"Rescue","Moderate",0.3,0.6,218877.376
"HI",1440196,"Repurpose","Moderate",0.3,0.6,218877.376
"HI",1440196,"Recycling","None",0.1,0.2,218877.376
"ID",1939033,"Prevention","Moderate",0.3,0.6,250370.559
"ID",1939033,"Rescue","Weak",0.2,0.4,250370.559
"ID",1939033,"Repurpose","Negative",0.05,0.1,250370.559
"ID",1939033,"Recycling","None",0.1,0.2,250370.559
"IL",12582032,"Prevention","Negative",0.05,0.1,2106901.993
"IL",12582032,"Rescue","Weak",0.2,0.4,2106901.993
"IL",12582032,"Repurpose","Negative",0.05,0.1,2106901.993
"IL",12582032,"Recycling","None",0.1,0.2,2106901.993
"IN",6833037,"Prevention","Moderate",0.3,0.6,1328545.796
"IN",6833037,"Rescue","Weak",0.2,0.4,1328545.796
"IN",6833037,"Repurpose","Moderate",0.3,0.6,1328545.796
"IN",6833037,"Recycling","None",0.1,0.2,1328545.796
"IA",3200517,"Prevention","Moderate",0.3,0.6,606609.409
"IA",3200517,"Rescue","Moderate",0.3,0.6,606609.409
"IA",3200517,"Repurpose","Weak",0.2,0.4,606609.409
"IA",3200517,"Recycling","None",0.1,0.2,606609.409
"KS",2937150,"Prevention","Moderate",0.3,0.6,556723.807
"KS",2937150,"Rescue","Weak",0.2,0.4,556723.807
"KS",2937150,"Repurpose","Negative",0.05,0.1,556723.807
"KS",2937150,"Recycling","None",0.1,0.2,556723.807
"KY",4512310,"Prevention","Negative",0.05,0.1,914530.274
"KY",4512310,"Rescue","Moderate",0.3,0.6,914530.274
"KY",4512310,"Repurpose","Negative",0.05,0.1,914530.274
"KY",4512310,"Recycling","None",0.1,0.2,914530.274
"LA",4590241,"Prevention","Negative",0.05,0.1,869384.589
"LA",4590241,"Rescue","Weak",0.2,0.4,869384.589
"LA",4590241,"Repurpose","Negative",0.05,0.1,869384.589
"LA",4590241,"Recycling","None",0.1,0.2,869384.589
"ME",1385340,"Prevention","Moderate",0.3,0.6,302917.664
"ME",1385340,"Rescue","Weak",0.2,0.4,302917.664
"ME",1385340,"Repurpose","Moderate",0.3,0.6,302917.664
"ME",1385340,"Recycling","None",0.1,0.2,302917.664
"MD",6164660,"Prevention","Negative",0.05,0.1,1080152.967
"MD",6164660,"Rescue","Moderate",0.3,0.6,1080152.967
"MD",6164660,"Repurpose","Moderate",0.3,0.6,1080152.967
"MD",6164660,"Recycling","Weak",0.2,0.4,1080152.967
"MA",6981974,"Prevention","Negative",0.05,0.1,1402991.327
"MA",6981974,"Rescue","Moderate",0.3,0.6,1402991.327
"MA",6981974,"Repurpose","Negative",0.05,0.1,1402991.327
"MA",6981974,"Recycling","Moderate",0.3,0.6,1402991.327
"MI",10034113,"Prevention","Negative",0.05,0.1,1712657.234
"MI",10034113,"Rescue","Weak",0.2,0.4,1712657.234
"MI",10034113,"Repurpose","Moderate",0.3,0.6,1712657.234
"MI",10034113,"Recycling","None",0.1,0.2,1712657.234
"MN",5717184,"Prevention","Moderate",0.3,0.6,901407.868
"MN",5717184,"Rescue","Weak",0.2,0.4,901407.868
"MN",5717184,"Repurpose","Weak",0.2,0.4,901407.868
"MN",5717184,"Recycling","None",0.1,0.2,901407.868
"MS",2940057,"Prevention","Moderate",0.3,0.6,537543.298
"MS",2940057,"Rescue","Weak",0.2,0.4,537543.298
"MS",2940057,"Repurpose","Negative",0.05,0.1,537543.298
"MS",2940057,"Recycling","None",0.1,0.2,537543.298
"MO",6177957,"Prevention","Moderate",0.3,0.6,1110190.871
"MO",6177957,"Rescue","Moderate",0.3,0.6,1110190.871
"MO",6177957,"Repurpose","Weak",0.2,0.4,1110190.871
"MO",6177957,"Recycling","None",0.1,0.2,1110190.871
"MT",1122867,"Prevention","Negative",0.05,0.1,153111.192
"MT",1122867,"Rescue","Weak",0.2,0.4,153111.192
"MT",1122867,"Repurpose","Negative",0.05,0.1,153111.192
"MT",1122867,"Recycling","None",0.1,0.2,153111.192
"NE",1967923,"Prevention","Moderate",0.3,0.6,359247.083
"NE",1967923,"Rescue","Moderate",0.3,0.6,359247.083
"NE",1967923,"Repurpose","Moderate",0.3,0.6,359247.083
"NE",1967923,"Recycling","None",0.1,0.2,359247.083
"NV",3177772,"Prevention","Negative",0.05,0.1,710339.956
"NV",3177772,"Rescue","Weak",0.2,0.4,710339.956
"NV",3177772,"Repurpose","Moderate",0.3,0.6,710339.956
