"state","solution_level","applicable_baseline","applicable_alternative"
"AL","Prevention","19129.964","45101.51"
"AL","Rescue","24745.268","37062.123"
"AL","Repurpose","26990.863","26297.593"
"AL","Recycling","501293.357","506058.954"
"AK","Prevention","2484.337","5986.375"
"AK","Rescue","2497.879","3520.742"
"AK","Repurpose","3449.214","3379.817"
"AK","Recycling","66423.944","67180.391"
"AZ","Prevention","32213.824","76764.6395"
"AZ","Rescue","102385.754","170604.333"
"AZ","Repurpose","55125.054","52796.949"
"AZ","Recycling","855410.328","868821.615"
"AR","Prevention","15852.895","34365.0095"
"AR","Rescue","17876.745","27743.032"
"AR","Repurpose","48451.532","47569.835"
"AR","Recycling","401566.163","404620.374"
"CA","Prevention","113417.083","265469.215"
"CA","Rescue","623202.123","1072941.12"
"CA","Repurpose","521325.284","505019.434"
"CA","Recycling","3714440.218","3752962.651"
"CO","Prevention","26272.209","62233.836"
"CO","Rescue","35383.78","52943.58"
"CO","Repurpose","40571.722","39388.679"
"CO","Recycling","724945.84","734021.462"
"CT","Prevention","12981.94","31565.4965"
"CT","Rescue","14798.51","20453.693"
"CT","Repurpose","15505.632","15185.339"
"CT","Recycling","350233.742","356443.483"
"DE","Prevention","3990.416","9445.158"
"DE","Rescue","7085.119","11243.874"
"DE","Repurpose","6807.297","6606.882"
"DE","Recycling","106223.351","107444.22"
"FL","Prevention","94500.843","229218.4335"
"FL","Rescue","159719.004","246237.94"
"FL","Repurpose","207734.122","204034.288"
"FL","Recycling","2758117.021","2790812.495"
"GA","Prevention","42386.271","98551.531"
"GA","Rescue","82606.423","132548.216"
"GA","Repurpose","88597.453","86180.755"
"GA","Recycling","1162582.02","1174162.496"
"HI","Prevention","3184.792","8076.817"
"HI","Rescue","5383.99","7734.131"
"HI","Repurpose","7186.263","7022.603"
"HI","Recycling","117957.302","120219.902"
"ID","Prevention","5510.275","12436.1975"
"ID","Rescue","42268.087","78262.43"
"ID","Repurpose","82915.464","80474.854"
"ID","Recycling","348766.763","341517.983"
"IL","Prevention","49098.386","107562.1255"
"IL","Rescue","62928.058","96062.463"
"IL","Repurpose","187721.59","184563.845"
