solution_group,solution_priority_action_area,solution_name,state,annual_tons_diversion_potential,annual_mtco2e_reduction_potential,annual_gallons_water_savings_potential,annual_meal_equivalents_diverted,jobs_created,annual_us_dollars_cost,annual_us_dollars_gross_financial_benefit,annual_us_dollars_net_financial_benefit
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Alabama,51699.148188269435,323464.1246073506,0,86165246.98044907,19.600439556877646,3254318.337130619,286561291.43996984,283306973.10283923
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Alaska,6959.842929345612,43280.524671306244,0,11599738.21557602,2.638650450588152,438102.85589303967,38577455.295581765,38139352.43968873
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Arizona,88777.37409332265,527162.1935090974,0,147962290.15553775,33.657721953130945,5588290.069733846,492080814.9137793,486492524.84404546
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Arkansas,36862.14927280406,230008.50554062932,0,61436915.45467343,13.975362343051836,2320370.306444461,204321840.32123932,202001470.01479486
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,California,302076.10080749483,1740339.5560876024,0,503460168.01249146,114.52460171864148,19014854.76098817,1674366417.901398,1655351563.1404097
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Colorado,71593.54349283571,425415.59505416226,0,119322572.48805952,27.142902176721336,4506615.477694832,396833197.47085756,392326581.99316275
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Connecticut,37121.22710229316,215119.58218845451,0,61868711.83715527,14.073585225156892,2336678.5389936715,205757873.21546614,203421194.67647246
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Delaware,10851.070524842873,66234.36001,0,18085117.541404787,4.113912112731051,683044.8667722195,60145996.44430334,59462951.57753112
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Florida,268533.9574772761,1652524.7169866858,0,447556595.79546016,101.80793662857229,16903469.642829448,1488446915.410388,1471543445.7675583
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Georgia,111710.49231210753,687797.3881759866,0,186184153.85351256,42.352240397827764,7031866.410202641,619195945.5072004,612164079.0969977
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Hawaii,9698.550527765177,51417.48570092669,0,16164250.87960863,3.6769629688389696,610496.9217511312,53757736.08902127,53147239.16727014
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Idaho,13751.861441677614,82588.13681275288,0,22919769.069462694,5.213674469076023,865641.6291,76224682.85318522,75359041.22411317
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Illinois,116141.07610176168,705970.4465589912,0,193568460.1696028,44.03198548,7310759.401212051,643754064.1046817,636443304.7034698
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Indiana,77027.7144,473828.3048738638,0,128379524,29.203132223745953,4848681.501330872,426954061.91502476,422105380.4136939
Prevention,Reshape Consumer Environments,Consumer Education Campaigns,Iowa,36348.91294575323,228056.5960547496,0,60581521.57625539,13.78078162055869,2288063.5,201477041.7153125,199188978.21563247
