"state","solution_level","total_fw_kg_per_capita","likely_fw_baseline_low_kg_per_capita","likely_fw_baseline_high_kg_per_capita","likely_fw_alternative_low_kg_per_capita","likely_fw_alternative_high_kg_per_capita","likely_fw_baseline_mean_kg_per_capita","likely_fw_alternative_mean_kg_per_capita"
"AL","Prevention",164.126892524382,0.171003193264051,0.342006386528102,0.403163447198882,0.806326894397765,0.256504789896076,0.604745170798324
"AK","Prevention",147.908181520632,0.921676181704729,1.84335236340946,2.22091417237381,4.44182834474763,1.38251427255709,3.33137125856072
"AZ","Prevention",464.913100434049,2.87859957625679,5.75719915251358,6.85962209069638,13.7192441813928,4.31789936438518,10.2894331360446
"AR","Prevention",77.5110587588388,0.586266757796061,1.17253351559212,1.27087593156933,2.54175186313867,0.879400136694092,1.906313897354
"CA","Prevention",133.734612950783,0.790868647808782,1.58173729561756,1.85114335114675,3.70228670229349,1.18630297171317,2.77671502672012
"CO","Prevention",199.263336257828,0.204058698018305,0.408117396036611,0.48337600948762,0.966752018975241,0.306088047027458,0.725064014231431
"CT","Prevention",160.824023989477,0.97432615411153,1.94865230822306,2.36906724322143,4.73813448644285,1.46148923116729,3.55360086483214
"DE","Prevention",168.314762402852,1.06639623652096,2.13279247304192,2.52411802291938,5.04823604583875,1.59959435478144,3.78617703437906
"FL","Prevention",197.4061623324,0.192695952799793,0.385391905599586,0.467397570649804,0.934795141299607,0.28904392919969,0.701096355974705
"GA","Prevention",170.295851218654,0.176178072843195,0.352356145686389,0.40962836309253,0.819256726185059,0.264267109264792,0.614442544638794
"HI","Prevention",137.871701036914,0.100305636542526,0.200611273085052,0.254380904756887,0.508761809513775,0.150458454813789,0.381571357135331
"ID","Prevention",117.13695206137,0.773401818206549,1.5468036364131,1.74549868347328,3.49099736694657,1.16010272730982,2.61824802520992
"IL","Prevention",151.911065281006,0.177003679943788,0.354007359887576,0.387770221939181,0.775540443878362,0.265505519915682,0.581655332908771
"IN","Prevention",176.383768731863,1.25692594518389,2.51385189036778,2.79803420458623,5.59606840917245,1.88538891777584,4.19705130687934
"IA","Prevention",171.943144405627,1.62468691497639,3.24937382995279,3.17939405563914,6.35878811127827,2.43703037246459,4.7690910834587
"KS","Prevention",171.952909062627,1.25254946313161,2.50509892626321,2.72391851783744,5.44783703567489,1.87882419469741,4.08587777675617
"KY","Prevention",183.863286569116,0.207131591563634,0.414263183127267,0.47087867051729,0.941757341034581,0.310697387345451,0.706318005775936
"LA","Prevention",171.819444419577,0.202387268396474,0.404774536792948,0.453753126557244,0.907506253114488,0.303580902594711,0.680629689835866
"ME","Prevention",198.36456105782,1.31148131306033,2.62296262612066,3.11591919126099,6.23183838252198,1.9672219695905,4.67387878689149
"MD","Prevention",158.954195262658,0.155273173066195,0.31054634613239,0.37501160540999,0.75002321081998,0.232909759599293,0.562517408114985
"MA","Prevention",182.294102926263,0.184047329962773,0.368094659925545,0.441029457922699,0.882058915845397,0.276070994944159,0.661544186884048
"MI","Prevention",154.841484526464,0.173885592657791,0.347771185315583,0.398065813313419,0.796131626626838,0.260828388986687,0.597098719970129
"MN","Prevention",143.032600792904,1.05272238411436,2.10544476822873,2.26324734468783,4.52649468937566,1.57908357617155,3.39487101703175
"MS","Prevention",165.86454507383,1.08965820734802,2.17931641469604,2.51515316937656,5.03030633875313,1.63448731102203,3.77272975406484
"MO","Prevention",163.022906327793,1.14430320904362,2.28860641808724,2.52384157373226,5.04768314746453,1.71645481356543,3.78576236059839
"MT","Prevention",123.701361527697,0.125667518404228,0.251335036808456,0.291453198440243,0.582906396880486,0.188501277606342,0.437179797660364
"NE","Prevention",165.607884552066,1.3775460049316,2.75509200986319,2.80039937588615,5.6007987517723,2.06631900739739,4.20059906382922
"NV","Prevention",202.78665460702,0.181591686425662,0.363183372851325,0.421149852021125,0.84229970404225,0.272387529638494,0.631724778031688
"NH","Prevention",243.964308905246,0.269196160787354,0.538392321574707,0.637188990565541,1.27437798113108,0.40379424118103,0.955783485848311
"NJ","Prevention",149.521944590418,0.153781978927166,0.307563957854331,0.363037143355919,0.726074286711839,0.230672968390748,0.544555715033879
"NM","Prevention",180.329653796107,0.187093749272125,0.37418749854425,0.440799893144526,0.881599786289052,0.280640623908188,0.661199839716789
"NY","Prevention",113.771399003,0.230918114868052,0.461836229736104,0.541720210723976,1.08344042144795,0.346377172302078,0.812580316085965
"NC","Prevention",179.004175521484,1.1700102071883,2.34002041437659,2.70756242250513,5.41512484501026,1.75501531078245,4.0613436337577
"ND","Prevention",167.502927065277,1.4543840497651,2.9087680995302,2.88541509490049,5.77083018980098,2.18157607464765,4.32812264235073
"OH","Prevention",168.034297031321,1.10862070051364,2.21724140102728,2.51059922853528,5.02119845707056,1.66293105077046,3.76589884280292
"OK","Prevention",161.797076877266,1.05365369456316,2.10730738912632,2.37960364520486,4.75920729040972,1.58048054184474,3.56940546780729
"OR","Prevention",134.497386372622,0.144154495139485,0.28830899027897,0.335270675175413,0.670541350350826,0.216231742709227,0.50290601276312
"PA","Prevention",153.420017585456,0.162447972922215,0.324895945844429,0.37937440308214,0.758748806164281,0.243671959383322,0.569061604623211
"RI","Prevention",141.664352846524,0.143603908328259,0.287207816656518,0.342947053017804,0.685894106035608,0.215405862492389,0.514420579526706
"SC","Prevention",176.776918740949,1.13352932619722,2.26705865239443,2.65062952095645,5.3012590419129,1.70029398929582,3.97594428143467
"SD","Prevention",162.09247021231,0.371562126251891,0.743124252503781,0.835514290003341,1.67102858000668,0.557343189377836,1.25327143500501
"TN","Prevention",181.701806162382,0.200895086243194,0.401790172486389,0.45563713827544,0.911274276550879,0.301342629364792,0.68345570741316
"TX","Prevention",134.529397017561,0.813508572540245,1.62701714508049,1.8222933618908,3.64458672378159,1.22026285881037,2.7334400428362
"UT","Prevention",135.901126382788,0.889965390068327,1.77993078013665,2.00190495331342,4.00380990662683,1.33494808510249,3.00285742997012
"VT","Prevention",147.350845432453,0.164259251314399,0.328518502628797,0.379075745017108,0.758151490034216,0.246388876971598,0.568613617525662
"VA","Prevention",189.558001619976,0.190374062762657,0.380748125525314,0.451811567251525,0.903623134503051,0.285561094143985,0.677717350877288
"WA","Prevention",132.755153969902,0.137640712155844,0.275281424311688,0.32740722125584,0.654814442511681,0.206461068233766,0.491110831883761
"WV","Prevention",171.038999391408,1.10674810982331,2.21349621964661,2.60295990277869,5.20591980555737,1.66012216473496,3.90443985416803
"WI","Prevention",141.351917637506,0.164068051646285,0.32813610329257,0.367663627978873,0.735327255957746,0.246102077469428,0.551495441968309
"WY","Prevention",188.488208038034,1.20521593449304,2.41043186898609,2.84078116770414,5.68156233540828,1.80782390173956,4.26117175155621
"AL","Rescue",164.126892524382,0.884794105451476,1.76958821090295,1.32519671906231,2.65039343812462,1.32719115817721,1.98779507859346
"AK","Rescue",147.908181520632,0.92670019368565,1.8534003873713,1.30617707795982,2.61235415591964,1.39005029052847,1.95926561693973
"AZ","Rescue",464.913100434049,9.1491028224135,18.298205644827,15.2450563050625,30.4901126101249,13.7236542336203,22.8675844575937
